3,38:1,1420:1,1997:2.9,1998:2.9074074074074074,"['2003:1', '2006:1']"
2,38:1,1910:1,1997:2.95,1998:2.9074074074074074,"['2000:1', '2006:1']"
2,38:1,1573:1,1997:4.0,1998:2.9074074074074074,"['2003:1', '2002:1']"
4,38:1,1636:1,1997:4.25,1998:2.9074074074074074,"['1999:1', '2011:1']"
3,38:1,1701:1,1997:4.35,1998:2.9074074074074074,"['1999:1', '2009:1', '2003:1']"
1,38:1,1532:1,1997:2.5,1998:2.9074074074074074,"['1999:1', '2000:1', '2003:1']"
3,38:1,1985:1,1997:3.05,1998:2.9074074074074074,['2000:1']
3,38:1,1522:1,1997:3.35,1998:2.9074074074074074,"['2003:1', '2008:1', '2014:1']"
4,38:1,1899:1,1997:4.25,1998:2.9074074074074074,"['1999:1', '2001:1', '2004:1']"
3,38:1,1860:1,1997:3.4,1998:2.9074074074074074,"['1999:1', '2000:1']"
3,38:1,1549:1,1997:3.1,1998:2.9074074074074074,"['2007:1', '2005:1']"
4,38:1,1525:1,1997:3.9,1998:2.9074074074074074,"['1999:1', '2008:1']"
5,38:1,1616:1,1997:4.15,1998:2.9074074074074074,"['1999:1', '2000:1']"
1,38:1,1463:1,1997:2.85,1998:2.9074074074074074,"['2003:1', '2008:1', '2006:1']"
1,38:1,1604:1,1997:3.65,1998:2.9074074074074074,"['2003:1', '2008:1', '2006:1']"
4,38:1,1735:1,1997:3.7,1998:2.9074074074074074,"['1999:1', '2005:1']"
2,38:1,1597:1,1997:3.35,1998:2.9074074074074074,"['2012:1', '2006:1']"
3,38:1,1565:1,1997:2.95,1998:2.9074074074074074,"['2003:1', '2002:1']"
3,38:1,1669:1,1997:3.25,1998:2.9074074074074074,"['1999:1', '2008:1', '2005:1']"
3,38:1,1664:1,1997:3.65,1998:2.9074074074074074,"['2003:1', '2007:1', '2005:1']"
3,38:1,1406:1,1997:3.85,1998:2.9074074074074074,"['2003:1', '2008:1', '2012:1']"
4,38:1,1566:1,1997:3.8,1998:2.9074074074074074,"['2000:1', '2004:1', '2012:1']"
4,38:1,1635:1,1997:4.3,1998:2.9074074074074074,"['1999:1', '2013:1']"
3,38:1,1677:1,1997:3.75,1998:2.9074074074074074,"['2004:1', '2012:1', '2006:1']"
3,38:1,1620:1,1997:4.2,1998:2.9074074074074074,"['1999:1', '2001:1', '2017:1']"
3,38:1,1634:1,1997:3.45,1998:2.9074074074074074,"['1999:1', '2003:1', '2001:1']"
4,38:1,1437:1,1997:3.45,1998:2.9074074074074074,"['2006:1', '2008:1']"
3,38:1,1621:1,1997:3.2,1998:2.9074074074074074,"['2000:1', '2005:1']"
4,38:1,1778:1,1997:3.95,1998:2.9074074074074074,"['1999:1', '2002:1', '2019:1']"
1,38:1,1839:1,1997:3.9,1998:2.9074074074074074,"['1999:1', '2003:1', '2004:1']"
4,38:1,1810:1,1997:3.3,1998:2.9074074074074074,"['1999:1', '2002:1', '2007:1']"
4,38:1,1584:1,1997:3.9,1998:2.9074074074074074,"['1999:1', '2000:1', '2013:1']"
4,38:1,1087:1,1997:4.15,1998:2.9074074074074074,['1999:1']
1,38:1,1991:1,1997:2.9,1998:2.9074074074074074,"['1999:1', '2003:1', '2021:1']"
1,38:1,1888:1,1997:2.6,1998:2.9074074074074074,"['1999:1', '2003:1']"
4,38:1,1712:1,1997:3.75,1998:2.9074074074074074,"['1999:1', '2010:1', '2011:1']"
1,38:1,1769:1,1997:2.65,1998:2.9074074074074074,"['1999:1', '2011:1']"
4,38:1,1329:1,1997:4.05,1998:2.9074074074074074,"['1999:1', '2001:1', '2011:1']"
3,38:1,1644:1,1997:3.8,1998:2.9074074074074074,"['1999:1', '2001:1', '2002:1']"
3,38:1,1766:1,1997:3.6,1998:2.9074074074074074,['1999:1']
3,38:1,1551:1,1997:3.8,1998:2.9074074074074074,"['1999:1', '2000:1']"
3,38:1,1511:1,1997:3.7,1998:2.9074074074074074,"['2003:1', '2019:1', '2006:1']"
2,38:1,1759:1,1997:3.2,1998:2.9074074074074074,"['2000:1', '2001:1']"
4,38:1,1608:1,1997:3.8,1998:2.9074074074074074,"['1999:1', '2009:1', '2005:1']"
3,38:1,1878:1,1997:3.65,1998:2.9074074074074074,"['2000:1', '2004:1']"
2,38:1,1729:1,1997:3.95,1998:2.9074074074074074,"['1999:1', '2013:1']"
4,38:1,1412:1,1997:3.85,1998:2.9074074074074074,"['1999:1', '2009:1', '2018:1']"
3,38:1,1953:1,1997:3.35,1998:2.9074074074074074,"['2000:1', '2008:1', '2004:1']"
1,38:1,1865:1,1997:2.85,1998:2.9074074074074074,"['2002:1', '2005:1']"
5,40:1,1558:1,1997:3.95,1998:3.2906976744186047,"['1999:1', '2012:1', '2006:1']"
1,40:1,1469:1,1997:3.25,1998:3.2906976744186047,"['1999:1', '2004:1', '2012:1']"
1,40:1,1672:1,1997:2.65,1998:3.2906976744186047,"['2000:1', '2001:1']"
4,40:1,1580:1,1997:3.8,1998:3.2906976744186047,"['1999:1', '2001:1']"
3,40:1,1643:1,1997:3.0,1998:3.2906976744186047,"['2008:1', '2005:1', '2014:1']"
2,40:1,1420:1,1997:2.9,1998:3.2906976744186047,"['2003:1', '2006:1']"
5,40:1,1638:1,1997:4.1,1998:3.2906976744186047,"['2003:1', '2005:1', '2023:1']"
2,40:1,1654:1,1997:2.95,1998:3.2906976744186047,"['1999:1', '2003:1', '2002:1']"
2,40:1,1534:1,1997:3.65,1998:3.2906976744186047,"['2003:1', '2008:1', '2006:1']"
2,40:1,1573:1,1997:4.0,1998:3.2906976744186047,"['2003:1', '2002:1']"
4,40:1,1636:1,1997:4.25,1998:3.2906976744186047,"['1999:1', '2011:1']"
3,40:1,1701:1,1997:4.35,1998:3.2906976744186047,"['1999:1', '2009:1', '2003:1']"
3,40:1,1640:1,1997:3.55,1998:3.2906976744186047,"['2005:1', '2006:1']"
4,40:1,1918:1,1997:3.5,1998:3.2906976744186047,"['2002:1', '2005:1', '2014:1']"
2,40:1,1542:1,1997:2.75,1998:3.2906976744186047,"['2000:1', '2003:1']"
3,40:1,1860:1,1997:3.4,1998:3.2906976744186047,"['1999:1', '2000:1']"
4,40:1,1525:1,1997:3.9,1998:3.2906976744186047,"['1999:1', '2008:1']"
4,40:1,1616:1,1997:4.15,1998:3.2906976744186047,"['1999:1', '2000:1']"
3,40:1,1716:1,1997:3.7,1998:3.2906976744186047,['2014:1']
2,40:1,1463:1,1997:2.85,1998:3.2906976744186047,"['2003:1', '2008:1', '2006:1']"
2,40:1,1604:1,1997:3.65,1998:3.2906976744186047,"['2003:1', '2008:1', '2006:1']"
3,40:1,1440:1,1997:3.05,1998:3.2906976744186047,"['2003:1', '2002:1', '2012:1']"
4,40:1,1735:1,1997:3.7,1998:3.2906976744186047,"['1999:1', '2005:1']"
2,40:1,1523:1,1997:3.45,1998:3.2906976744186047,"['1999:1', '2003:1', '2002:1']"
